isogroup1000	sp|Q9P974|IF4E_CANGA
isogroup41877	sp|P9WQE7|PPSA_MYCTU
isogroup41880	sp|P24733|MYS_ARGIR
isogroup41882	sp|P04929|HRPX_PLALO
isogroup41883	sp|Q9SRK7|AZG1_ARATH
isogroup41884	sp|P0C5J9|SHKB1_RAT
isogroup41885	sp|P45694|TKT_BACSU
isogroup41886	sp|Q5RC80|RBM39_PONAB
isogroup41887	sp|Q9XVS4|NOLC1_CAEEL
isogroup41889	sp|Q06852|SLAP1_CLOTH
isogroup41891	sp|Q9FY48|KEG_ARATH
isogroup41892	sp|Q47944|SDH_GLUOY
isogroup41893	sp|Q9SYB0|TAUE2_ARATH
isogroup41894	sp|Q8MTI2|BSL1_TRIVA
isogroup41897	sp|Q0WRB2|P2C73_ARATH
isogroup418982	sp|Q62210|BIRC2_MOUSE
isogroup41899	sp|P30427|PLEC_RAT
isogroup41900	sp|P70419|GALT3_MOUSE
isogroup41904	sp|Q55G11|NCSEB_DICDI
isogroup41906	sp|Q9U1S7|PKD2_CAEEL
isogroup41907	sp|Q9SYW8|LHCA2_ARATH
isogroup41910	sp|O01761|UNC89_CAEEL
isogroup41911	sp|Q29DY1|KLP68_DROPS
isogroup41913	sp|Q6IQ20|NAPEP_HUMAN
isogroup41918	sp|Q8BMA6|SRP68_MOUSE
isogroup41922	sp|P37959|YUSZ_BACSU
isogroup41924	sp|Q60389|Y079_METJA
isogroup41926	sp|Q91YE6|IPO9_MOUSE
isogroup41928	sp|P43646|CATR_TETST
isogroup41930	sp|Q01238|HCC2_CRYCO
isogroup41931	sp|A7TH19|EIF3I_VANPO
isogroup41932	sp|P24733|MYS_ARGIR
isogroup41933	sp|Q96RU3|FNBP1_HUMAN
isogroup41935	sp|Q4V9Y0|VPS51_XENTR
isogroup41938	sp|Q9STN7|BOB2_ARATH
isogroup41939	sp|Q39493|DSK1_CYLFU
isogroup41940	sp|Q9SWH4|SYP42_ARATH
isogroup41941	sp|A7EKT5|MCR1_SCLS1
isogroup41942	sp|C9ZN16|FAZ1_TRYB9
isogroup41943	sp|Q5HRH0|PROP_STAEQ
isogroup41945	sp|Q9M1K2|PI5K4_ARATH
isogroup4195	sp|Q03168|ASPP_AEDAE
isogroup41950	sp|Q6ZMV9|KIF6_HUMAN
isogroup41951	sp|Q9AJG9|RSMH_VIBPR
isogroup41952	sp|P08799|MYS2_DICDI
isogroup41953	sp|Q7SZN0|FA5V_PSETE
isogroup41957	sp|Q98KK0|BODG_RHILO
isogroup41958	sp|P14749|AGAL_CYATE
isogroup41964	sp|Q5TZA2|CROCC_HUMAN
isogroup41965	sp|B2RY56|RBM25_MOUSE
isogroup41968	sp|Q9BWU0|NADAP_HUMAN
isogroup41969	sp|Q869Q0|Y4527_DICDI
isogroup41971	sp|P28268|TBA_EUPVA
isogroup41972	sp|P51955|NEK2_HUMAN
isogroup41974	sp|Q9JLT0|MYH10_RAT
isogroup41976	sp|D4A8G9|ZFY26_RAT
isogroup41977	sp|Q9C8M1|PT153_ARATH
isogroup41978	sp|Q94IR2|CCD1_PHAVU
isogroup41980	sp|Q3TCN2|PLBL2_MOUSE
isogroup41982	sp|O95155|UBE4B_HUMAN
isogroup41987	sp|Q04861|NFKB1_CHICK
isogroup41989	sp|P27034|BGLS_RHIRD
isogroup41991	sp|Q8CG09|MRP1_RAT
isogroup41993	sp|Q9RKB5|BVMO2_STRCO
isogroup41994	sp|Q9QYJ4|ABCB9_RAT
isogroup41996	sp|P16884|NFH_RAT
isogroup41997	sp|Q38868|CDPK9_ARATH
isogroup41998	sp|O14326|PUB3_SCHPO
isogroup420	sp|P53476|ACT_TOXGO
isogroup42000	sp|P22793|TRHY_SHEEP
isogroup42001	sp|Q75VR1|TPC1A_TOBAC
isogroup42008	sp|Q2M3Z7|CRN16_PHYIN
isogroup4201	sp|Q753J1|NCA2_ASHGO
isogroup42010	sp|Q94A68|Y1669_ARATH
isogroup42014	sp|P34091|RL6_MESCR
isogroup42015	sp|Q59002|Y1607_METJA
isogroup42016	sp|Q9P0L9|PK2L1_HUMAN
isogroup42018	sp|Q9D8X5|CNOT8_MOUSE
isogroup42026	sp|P09204|TBA1_CHLRE
isogroup4203	sp|O74310|YOG5_SCHPO
isogroup42030	sp|B0R0T1|VWA8_DANRE
isogroup42031	sp|Q75B50|DED1_ASHGO
isogroup42032	sp|Q4FAT7|BGLR_PIG
isogroup42033	sp|Q9H9E1|ANRA2_HUMAN
isogroup42035	sp|O62761|CHLE_PANTT
isogroup42036	sp|Q9NJU9|CDPK3_PLAF7
isogroup42039	sp|Q9XWD6|CED1_CAEEL
isogroup42040	sp|Q8H6G7|PHT19_ORYSJ
isogroup42043	sp|P35500|SCNA_DROME
isogroup42045	sp|Q0WVL7|GOGC5_ARATH
isogroup42047	sp|P00110|CYC6_BUMFI
isogroup42049	sp|Q95327|MANBA_CAPHI
isogroup42052	sp|Q63472|KCNH1_RAT
isogroup42054	sp|Q00578|RAD25_YEAST
isogroup42057	sp|Q8L5Y9|PANK2_ARATH
isogroup42058	sp|Q54NS8|AIFB_DICDI
isogroup420602	sp|A3KPE8|SDN1_ARATH
isogroup42061	sp|E9Q8D0|DJC21_MOUSE
isogroup42062	sp|Q6AUV1|XDH_ORYSJ
isogroup42063	sp|Q9EPU0|RENT1_MOUSE
isogroup42064	sp|Q8IX30|SCUB3_HUMAN
isogroup42065	sp|P19485|CYA1_RHIME
isogroup42068	sp|E9Q7G0|NUMA1_MOUSE
isogroup42069	sp|I0IUP3|MCM8_CHICK
isogroup42071	sp|Q92954|PRG4_HUMAN
isogroup42072	sp|Q21920|ANKHM_CAEEL
isogroup42075	sp|B4F795|CTL2_RAT
isogroup42077	sp|Q10SX7|GT31_ORYSJ
isogroup42078	sp|Q5UP54|YR596_MIMIV
isogroup42079	sp|Q5XF90|AT134_MOUSE
isogroup42082	sp|Q9P7T8|YIW2_SCHPO
isogroup42083	sp|Q02343|CAC1E_RABIT
isogroup42085	sp|Q86UA1|PRP39_HUMAN
isogroup42094	sp|Q54IL5|UGT52_DICDI
isogroup42095	sp|F4KD71|DUR3_ARATH
isogroup42099	sp|Q60710|SAMH1_MOUSE
isogroup42101	sp|Q5R5X0|PININ_PONAB
isogroup42102	sp|Q6F3A6|CDPKA_ORYSJ
isogroup42103	sp|Q75WS4|CRYD_XENLA
isogroup42106	sp|Q39593|SAC1_CHLRE
isogroup42109	sp|Q6NYH1|IF122_DANRE
isogroup42112	sp|Q9EQK5|MVP_MOUSE
isogroup42113	sp|Q55EI3|VP13E_DICDI
isogroup42115	sp|P24733|MYS_ARGIR
isogroup42116	sp|A8JF70|ODA1_CHLRE
isogroup42117	sp|Q8ZFU1|RLUC_YERPE
isogroup42118	sp|P27350|AMY_STRTL
isogroup42119	sp|Q8RVL1|DEK1_MAIZE
isogroup42121	sp|Q5UQE9|YL477_MIMIV
isogroup42122	sp|Q91VE0|S27A4_MOUSE
isogroup42123	sp|Q9H9Y6|RPA2_HUMAN
isogroup42126	sp|P19485|CYA1_RHIME
isogroup42127	sp|P0C927|ASB14_RAT
isogroup42128	sp|Q9NRH2|SNRK_HUMAN
isogroup42130	sp|P39986|ATC6_YEAST
isogroup42133	sp|P07896|ECHP_RAT
isogroup42136	sp|C8VK14|HXNY_EMENI
isogroup42137	sp|B9G5Y5|AB25G_ORYSJ
isogroup42140	sp|Q14191|WRN_HUMAN
isogroup42143	sp|Q8MTI2|BSL1_TRIVA
isogroup42145	sp|A7MBH5|CC151_BOVIN
isogroup42146	sp|P09437|CYB2_WICAO
isogroup42147	sp|Q9FHN8|KN14E_ARATH
isogroup42149	sp|Q8J140|MCA1_EMENI
isogroup42150	sp|Q961G1|COG3_DROME
isogroup42152	sp|Q9USZ2|YNR7_SCHPO
isogroup421534	sp|Q5DU56|NLRC3_MOUSE
isogroup42155	sp|P37709|TRHY_RABIT
isogroup42156	sp|Q9VH19|LMLN_DROME
isogroup42157	sp|Q8N960|CE120_HUMAN
isogroup42158	sp|P45963|ACR7_CAEEL
isogroup42161	sp|Q08972|NEW1_YEAST
isogroup42163	sp|P41352|TBB_TETTH
isogroup42166	sp|Q87NG3|BCCT3_VIBPA
isogroup42167	sp|P25776|ORYA_ORYSJ
isogroup42171	sp|Q6F7T9|ALMA_ACIAD
isogroup42172	sp|P13983|EXTN_TOBAC
isogroup42173	sp|Q9M8Z7|U80A2_ARATH
isogroup42176	sp|Q6NYL3|ECHP_DANRE
isogroup42178	sp|Q5ZHN4|XRP2_CHICK
isogroup4218	sp|P39846|PPSB_BACSU
isogroup42180	sp|B9U3F2|DISP3_CHICK
isogroup42181	sp|P09110|THIK_HUMAN
isogroup42182	sp|Q9STX5|ENPL_ARATH
isogroup42183	sp|Q9JI39|ABCBA_MOUSE
isogroup42185	sp|Q94AW8|DNAJ3_ARATH
isogroup42188	sp|P81660|TNNC2_ANGAN
isogroup42189	sp|O54898|CAC1G_RAT
isogroup42190	sp|O13755|OSM1_SCHPO
isogroup42192	sp|O70507|HCN4_MOUSE
isogroup42195	sp|P37709|TRHY_RABIT
isogroup42197	sp|F4JML5|ECH2M_ARATH
isogroup42200	sp|P33224|AIDB_ECOLI
isogroup42202	sp|Q9R053|SCNBA_MOUSE
isogroup42203	sp|Q02817|MUC2_HUMAN
isogroup42204	sp|Q7XQ88|STT3B_ORYSJ
isogroup42205	sp|P80576|AROF_NEUCR
isogroup42206	sp|P68136|ACTS_RAT
isogroup42209	sp|Q07116|SUOX_RAT
isogroup42210	sp|Q84K11|PPP5_SOLLC
isogroup42213	sp|Q45269|NOLO_BRADU
isogroup42214	sp|Q5TZA2|CROCC_HUMAN
isogroup42216	sp|Q32PX9|AFG1L_RAT
isogroup42217	sp|Q8IZU2|WDR17_HUMAN
isogroup42221	sp|Q8VZI8|FTSHA_ARATH
isogroup42223	sp|Q55BK0|UFD1_DICDI
isogroup42224	sp|Q4WYG7|PNS1_ASPFU
isogroup42225	sp|Q7XJ02|APX7_ORYSJ
isogroup42226	sp|P51840|GUC2E_RAT
isogroup42227	sp|P25796|CATE_CAVPO
isogroup42228	sp|Q9NJU9|CDPK3_PLAF7
isogroup42234	sp|Q8VZE7|RAP_ARATH
isogroup42235	sp|Q9ZVN2|Y1457_ARATH
isogroup42237	sp|G4SLH0|TTN1_CAEEL
isogroup42238	sp|Q9DCP2|S38A3_MOUSE
isogroup42239	sp|Q1LVE8|SF3B3_DANRE
isogroup42240	sp|Q99K46|UBP11_MOUSE
isogroup42241	sp|Q9R053|SCNBA_MOUSE
isogroup42242	sp|F4HNU6|NRDC_ARATH
isogroup42244	sp|Q01238|HCC2_CRYCO
isogroup42245	sp|Q9BYK8|HELZ2_HUMAN
isogroup42246	sp|Q8K2G4|BBS7_MOUSE
isogroup42247	sp|Q07429|AMTB_BACSU
isogroup42248	sp|R1CW23|ALMA7_EMIHU
isogroup42249	sp|Q8BSY0|ASPH_MOUSE
isogroup42251	sp|Q05858|FMN_CHICK
isogroup42254	sp|Q27352|TBA_TRYCR
isogroup42256	sp|Q8R5K4|NOL6_MOUSE
isogroup42257	sp|Q94CT7|XB31_ORYSJ
isogroup42258	sp|Q5N249|ISPH_SYNP6
isogroup42259	sp|Q4L8B8|TOP3_STAHJ
isogroup42260	sp|P51281|YCF45_PORPU
isogroup42261	sp|Q8H136|RH14_ARATH
isogroup42262	sp|P0CT78|RL11B_SCHPO
isogroup42263	sp|Q55C66|CRTP3_DICDI
isogroup42265	sp|Q5XIF4|SUMO3_RAT
isogroup42267	sp|Q8RY46|AB26B_ARATH
isogroup42272	sp|B3DLH6|MYOF_XENTR
isogroup42273	sp|Q9SKZ5|FBT1_ARATH
isogroup42274	sp|F4HWY6|MYO11_ARATH
isogroup42275	sp|P30427|PLEC_RAT
isogroup42276	sp|Q96C10|DHX58_HUMAN
isogroup42277	sp|Q39493|DSK1_CYLFU
isogroup42278	sp|Q9ZGI5|PIKA1_STRVZ
isogroup42281	sp|Q57335|Y036_HAEIN
isogroup42282	sp|I1K0K6|EFGC2_SOYBN
isogroup42284	sp|G4SLH0|TTN1_CAEEL
isogroup42286	sp|Q5UP55|YR595_MIMIV
isogroup42292	sp|Q96MR6|CFA57_HUMAN
isogroup42294	sp|Q9FNB0|CHLH_ARATH
isogroup42295	sp|Q865S1|AP3D1_BOVIN
isogroup42296	sp|Q80ZA4|PKHL1_MOUSE
isogroup4230	sp|Q2JQX6|MIAB_SYNJA
isogroup42300	sp|Q0AA26|GLGB_ALKEH
isogroup42303	sp|L0MZK0|FC6_PHOAM
isogroup42304	sp|Q58A42|DD3_DICDI
isogroup42306	sp|Q8C8R3|ANK2_MOUSE
isogroup42308	sp|Q06852|SLAP1_CLOTH
isogroup42309	sp|Q6Z6L4|APM1A_ORYSJ
isogroup42311	sp|Q7SXS7|SETD3_DANRE
isogroup42314	sp|B3EWZ3|CADN_ACRMI
isogroup42315	sp|Q9SHL7|RP44A_ARATH
isogroup42317	sp|Q9PTU6|ENDOU_PAROL
isogroup42318	sp|Q7XYM4|UCRIA_BIGNA
isogroup42319	sp|Q800A0|CATE_LITCT
isogroup42320	sp|Q1QSX1|DNAJ_CHRSD
isogroup423213	sp|Q8MTI2|BSL1_TRIVA
isogroup42322	sp|P33116|SPAT_BACIU
isogroup42323	sp|Q5UPG5|YL093_MIMIV
isogroup42324	sp|Q7ZVC2|CLUA1_DANRE
isogroup42328	sp|Q6GDG7|ARCA_STAAR
isogroup42329	sp|P75063|Y051_MYCPN
isogroup42331	sp|O23184|CML19_ARATH
isogroup42334	sp|Q7Z2Z2|EFL1_HUMAN
isogroup42339	sp|Q63099|KCNB2_RAT
isogroup42341	sp|Q60HH1|TPP1_MACFA
isogroup42342	sp|Q02357|ANK1_MOUSE
isogroup42343	sp|Q6P2K3|CC067_MOUSE
isogroup42344	sp|Q3ZBE5|SLU7_BOVIN
isogroup42351	sp|B9EJV3|GRB1L_MOUSE
isogroup42352	sp|Q2EMV9|PAR14_MOUSE
isogroup42353	sp|Q4R350|CNO10_MACFA
isogroup42357	sp|P9WLZ3|Y1367_MYCTU
isogroup42358	sp|P93030|RMA2_ARATH
isogroup42359	sp|P55937|GOGA3_MOUSE
isogroup42360	sp|B1XLK6|HEM1_SYNP2
isogroup42361	sp|Q94K85|CATB3_ARATH
isogroup42365	sp|F4IJK6|KN14R_ARATH
isogroup42366	sp|P80197|AFK_PHYPO
isogroup42369	sp|Q3JRV4|Y2304_BURP1
isogroup42374	sp|P25997|EF3_CANAL
isogroup42375	sp|P70549|NAC3_RAT
isogroup42376	sp|Q3MHG0|COG4_BOVIN
isogroup42377	sp|P16157|ANK1_HUMAN
isogroup42379	sp|Q9FF18|C7351_ARATH
isogroup42380	sp|Q58A42|DD3_DICDI
isogroup42381	sp|A8I4E9|CP100_CHLRE
isogroup42383	sp|Q5UPD4|YL060_MIMIV
isogroup42386	sp|Q9JKB0|HCN1_RAT
isogroup42387	sp|L8EUQ6|OXYS_STRR1
isogroup42389	sp|Q54L40|SAE2_DICDI
isogroup42397	sp|Q9FF46|AB28G_ARATH
isogroup42398	sp|Q9SZ54|GPX7_ARATH
isogroup42402	sp|Q4W9V1|ERG6_ASPFU
isogroup42403	sp|P11144|HSP70_PLAFA
isogroup42404	sp|Q55DF5|JMJCD_DICDI
isogroup42410	sp|Q40300|FCPF_MACPY
isogroup42412	sp|O22494|GSHB_SOLLC
isogroup42414	sp|Q8IUF1|CBWD2_HUMAN
isogroup42415	sp|Q15075|EEA1_HUMAN
isogroup42417	sp|Q9H1U4|MEGF9_HUMAN
isogroup42418	sp|Q91VW5|GOGA4_MOUSE
isogroup42426	sp|Q9NQE7|TSSP_HUMAN
isogroup42432	sp|Q9Y140|DHRS7_DROME
isogroup42437	sp|Q02817|MUC2_HUMAN
isogroup42439	sp|P96202|PPSC_MYCTU
isogroup42443	sp|P53978|EF3B_YEAST
isogroup42444	sp|Q66HD8|F221B_RAT
isogroup42446	sp|Q6YLX9|TPC1_WHEAT
isogroup42447	sp|Q9BQ70|TCF25_HUMAN
isogroup42448	sp|Q54MJ7|ALAM_DICDI
isogroup424491	sp|P19246|NFH_MOUSE
isogroup42452	sp|P0CP68|HOG1_CRYNJ
isogroup42453	sp|Q6WNR0|C81E7_MEDTR
isogroup42457	sp|P0AFS6|TQSA_SHIFL
isogroup424584	sp|Q641X6|MORN1_RAT
isogroup42462	sp|P85194|PSBO_HELAN
isogroup42463	sp|P76462|YFAP_ECOLI
isogroup42465	sp|P34795|G6PI_ARATH
isogroup42466	sp|Q921L5|COG2_MOUSE
isogroup42467	sp|F4ICK8|IWS1_ARATH
isogroup42468	sp|Q13237|KGP2_HUMAN
isogroup424707	sp|Q9C8U7|IAN4_ARATH
isogroup42472	sp|Q99MB4|CBWD1_RAT
isogroup42479	sp|O61308|PUMA_PARUN
isogroup42486	sp|Q15878|CAC1E_HUMAN
isogroup42487	sp|P19485|CYA1_RHIME
isogroup42490	sp|Q6DFQ2|NCBP3_XENTR
isogroup42496	sp|Q17BU3|KIF1A_AEDAE
isogroup42497	sp|Q9C512|MNS1_ARATH
isogroup42500	sp|Q5UQE9|YL477_MIMIV
isogroup42503	sp|Q9ULJ7|ANR50_HUMAN
isogroup42504	sp|P16884|NFH_RAT
isogroup42505	sp|Q96PY6|NEK1_HUMAN
isogroup42506	sp|Q1ZXK2|FORG_DICDI
isogroup42507	sp|Q6P4S6|SIK3_MOUSE
isogroup42508	sp|Q5SNX7|GALC_DANRE
isogroup42509	sp|Q23716|EF2_CRYPV
isogroup42510	sp|Q99323|MYSN_DROME
isogroup42515	sp|A1JHR5|RAVA_YERE8
isogroup42517	sp|Q8RVL2|DEK1_ARATH
isogroup42518	sp|Q24133|DNAJ1_DROME
isogroup42520	sp|Q9LZ82|BTR1_ARATH
isogroup42522	sp|A0QQ38|ECCA3_MYCS2
isogroup42524	sp|O08759|UBE3A_MOUSE
isogroup42527	sp|P83100|MK14C_DROME
isogroup42528	sp|Q63569|PRS6A_RAT
isogroup42530	sp|C6KSS5|LRR2_PLAF7
isogroup42531	sp|Q8T135|KIF5_DICDI
isogroup42532	sp|P26302|KPPR_WHEAT
isogroup42533	sp|Q8IYB7|DI3L2_HUMAN
isogroup42534	sp|D0E0C2|SCNA1_PERAM
isogroup42537	sp|A3LNF8|KMO_PICST
isogroup425387	sp|Q8MTI2|BSL1_TRIVA
isogroup42542	sp|P00393|DHNA_ECOLI
isogroup42543	sp|Q6H7M3|HMA4_ORYSJ
isogroup42544	sp|Q7Y1C4|BRC2B_ARATH
isogroup42545	sp|P79083|EIF3I_SCHPO
isogroup42549	sp|Q9H252|KCNH6_HUMAN
isogroup4255	sp|B3RML8|CISD2_TRIAD
isogroup42550	sp|Q5RCR5|SUMF2_PONAB
isogroup42552	sp|Q6AXP6|CTSR2_RAT
isogroup42556	sp|Q8RI52|ISPH_FUSNN
isogroup42557	sp|Q24V86|NHAA_DESHY
isogroup42558	sp|Q9R1T3|CATZ_RAT
isogroup42561	sp|Q4PKH3|CLCN7_BOVIN
isogroup42562	sp|Q54SP4|DHKD_DICDI
isogroup42564	sp|P25386|USO1_YEAST
isogroup425650	sp|Q8MTI2|BSL1_TRIVA
isogroup42567	sp|Q5DU56|NLRC3_MOUSE
isogroup42568	sp|O43292|GPAA1_HUMAN
isogroup42569	sp|Q96V64|EXG_BLUGR
isogroup42570	sp|Q9BSD7|NTPCR_HUMAN
isogroup42571	sp|P97821|CATC_MOUSE
isogroup42573	sp|Q57335|Y036_HAEIN
isogroup42574	sp|Q5ZMT7|ADCK1_CHICK
isogroup42577	sp|Q04592|PCSK5_MOUSE
isogroup42580	sp|Q97WH0|RAD50_SACS2
isogroup42584	sp|B0RIH2|MQO_CLAMS
isogroup42586	sp|Q9NQX4|MYO5C_HUMAN
isogroup42589	sp|Q9W0Y8|SCN60_DROME
isogroup42590	sp|P29939|YCB6_SINSX
isogroup42591	sp|A0JM56|LRRC9_XENTR
isogroup42592	sp|O43497|CAC1G_HUMAN
isogroup42593	sp|Q9S9V0|CDPKV_ARATH
isogroup42597	sp|Q8IVS2|FABD_HUMAN
isogroup42598	sp|U3JAG9|CP131_DANRE
isogroup42600	sp|Q6AYK6|CYBP_RAT
isogroup42603	sp|P05987|KAPR_DICDI
isogroup42604	sp|Q6C520|AKR1_YARLI
isogroup42605	sp|Q9FDW8|CYB5A_ARATH
isogroup42608	sp|Q40301|FCPE_MACPY
isogroup42611	sp|Q6ZFZ4|DEK1_ORYSJ
isogroup42613	sp|A8JGB0|ASNA1_CHLRE
isogroup42614	sp|Q63ZL2|HOP2_XENLA
isogroup42615	sp|Q8LPT9|GWD1_CITRE
isogroup42616	sp|P13667|PDIA4_HUMAN
isogroup42618	sp|A3E4D8|CALM_PROMN
isogroup42619	sp|P74178|Y1178_SYNY3
isogroup42620	sp|Q9FIH9|CML37_ARATH
isogroup42621	sp|Q7XIM0|CDPKH_ORYSJ
isogroup42625	sp|A9NUH8|METK1_PICSI
isogroup42626	sp|P38149|DUG2_YEAST
isogroup42627	sp|Q02KR1|PPSA_PSEAB
isogroup42628	sp|Q54KA7|SECG_DICDI
isogroup42632	sp|Q40300|FCPF_MACPY
isogroup42635	sp|Q5PQN1|HERC4_RAT
isogroup42645	sp|P84466|ERG7_BOVIN
isogroup42646	sp|Q39493|DSK1_CYLFU
isogroup42651	sp|Q75WS4|CRYD_XENLA
isogroup42652	sp|Q9Y3Q4|HCN4_HUMAN
isogroup42653	sp|Q8MP30|Y7791_DICDI
isogroup42663	sp|P51954|NEK1_MOUSE
isogroup42666	sp|Q54F46|WARA_DICDI
isogroup42667	sp|P08212|ATPH_PEA
isogroup42668	sp|Q59990|CP120_SYNY3
isogroup42669	sp|Q1KMD3|HNRL2_HUMAN
isogroup42670	sp|P12957|CALD1_CHICK
isogroup42671	sp|Q8I8U2|AP1G_DICDI
isogroup42675	sp|Q06953|GDPPS_VIBCL
isogroup42676	sp|Q9FIX3|PP407_ARATH
isogroup42677	sp|Q5VYS8|TUT7_HUMAN
isogroup42678	sp|P08096|TOP2_SCHPO
isogroup42679	sp|Q55680|Y005_SYNY3
isogroup42681	sp|Q03168|ASPP_AEDAE
isogroup42686	sp|D3KCC4|CRNS1_CHICK
isogroup42687	sp|Q10PV9|RH47B_ORYSJ
isogroup426895	sp|Q27991|MYH10_BOVIN
isogroup42690	sp|Q8L831|NUDT3_ARATH
isogroup42691	sp|Q9EQP2|EHD4_MOUSE
isogroup42693	sp|B7ZWR6|OEP61_ARATH
isogroup42694	sp|Q5U206|CALL3_RAT
isogroup42695	sp|Q40300|FCPF_MACPY
isogroup42696	sp|Q6PFX9|TNKS1_MOUSE
isogroup42697	sp|O89019|INVS_MOUSE
isogroup42702	sp|Q9M101|CDPKN_ARATH
isogroup42705	sp|P08799|MYS2_DICDI
isogroup42707	sp|Q54QP7|Y3707_DICDI
isogroup42708	sp|F4IME2|MSL8_ARATH
isogroup42709	sp|P53154|GUP1_YEAST
isogroup42711	sp|Q54I71|AARA_DICDI
isogroup42712	sp|O17040|HACD_CAEEL
isogroup42714	sp|P19269|AMY1_SCHOC
isogroup42716	sp|P54282|CAC1A_RAT
isogroup42717	sp|Q9VR91|HERC2_DROME
isogroup42721	sp|Q6GIU7|NORA_STAAR
isogroup42722	sp|Q90ZC7|KCMA1_XENLA
isogroup42728	sp|O15865|CDPK2_PLAFK
isogroup42730	sp|P25071|CML12_ARATH
isogroup42731	sp|P10246|TNNC2_MELGA
isogroup42733	sp|D4AVD4|CALX_ARTBC
isogroup42736	sp|Q9L7R4|YIHO_SALTY
isogroup42739	sp|Q1XDK1|EFTU_PYRYE
isogroup42740	sp|Q54C32|PSIQ_DICDI
isogroup42741	sp|Q5RKH1|PRP4B_RAT
isogroup42743	sp|B2RXR6|ANR44_MOUSE
isogroup42744	sp|P19246|NFH_MOUSE
isogroup42748	sp|A5PMW0|CTL5A_DANRE
isogroup42749	sp|Q9FWX7|AB11B_ARATH
isogroup42752	sp|A7E2Y1|MYH7B_HUMAN
isogroup42754	sp|P60409|KR107_HUMAN
isogroup42755	sp|P60409|KR107_HUMAN
isogroup42757	sp|Q9M8D3|PUR4_ARATH
isogroup42758	sp|Q08473|SQD_DROME
isogroup42761	sp|Q6P3R8|NEK5_HUMAN
isogroup42763	sp|O42449|IOD1_ORENI
isogroup42766	sp|E9PY46|IF140_MOUSE
isogroup42768	sp|Q4LDE5|SVEP1_HUMAN
isogroup42769	sp|Q4L9P0|SRAP_STAHJ
isogroup42770	sp|B0R0T1|VWA8_DANRE
isogroup42774	sp|A1CCL9|BXLB_ASPCL
isogroup42775	sp|Q2QKB4|U2A2B_WHEAT
isogroup42777	sp|F4JZY1|CIP1_ARATH
isogroup42780	sp|Q5ZJ75|SL9A8_CHICK
isogroup42781	sp|P50429|ARSB_MOUSE
isogroup42786	sp|P09095|TYCA_BREPA
isogroup42788	sp|Q9Y3Q4|HCN4_HUMAN
isogroup42789	sp|P14749|AGAL_CYATE
isogroup42790	sp|O59922|KAPR_EMENI
isogroup42792	sp|Q8WWF8|CAPSL_HUMAN
isogroup42794	sp|Q7RTR2|NLRC3_HUMAN
isogroup42797	sp|P48768|NAC2_RAT
isogroup42799	sp|Q6R5J2|DISP1_DANRE
isogroup42800	sp|A2ASS6|TITIN_MOUSE
isogroup42801	sp|P25248|ACEA_BRANA
isogroup428022	sp|P49471|PSBB_TRICV
isogroup42803	sp|Q6DC39|DESI2_DANRE
isogroup42804	sp|Q8W257|PFI_PTIFI
isogroup42805	sp|Q53479|IDSA_METTM
isogroup42807	sp|Q2XQU3|BGAL2_ENTCL
isogroup42808	sp|Q15149|PLEC_HUMAN
isogroup42809	sp|Q96MR6|CFA57_HUMAN
isogroup42811	sp|F1P4W9|CFA65_CHICK
isogroup42815	sp|P50532|SMC4_XENLA
isogroup42816	sp|Q76E23|IF4G_ARATH
isogroup42817	sp|Q6P2B1|TNPO3_MOUSE
isogroup42819	sp|O13755|OSM1_SCHPO
isogroup42824	sp|Q54J08|ACAC_DICDI
isogroup42825	sp|Q73E41|BACA1_BACC1
isogroup42828	sp|P43644|DNJH_ATRNU
isogroup42831	sp|B0KWC9|CING_CALJA
isogroup42833	sp|Q8VC69|S22A6_MOUSE
isogroup42834	sp|O94387|YGSA_SCHPO
isogroup42835	sp|P29400|CO4A5_HUMAN
isogroup42836	sp|Q9F234|AGL2_BACTQ
isogroup42837	sp|Q9UTQ5|YL39_SCHPO
isogroup42838	sp|P12845|MYO2_CAEEL
isogroup4284	sp|Q1J1C0|PANB_DEIGD
isogroup42841	sp|Q5E9N9|APEX2_BOVIN
isogroup42842	sp|Q80WC3|TNC18_MOUSE
isogroup42846	sp|Q6AY17|AB17B_RAT
isogroup42848	sp|Q4PBP6|NST1_USTMA
isogroup42849	sp|Q96MR6|CFA57_HUMAN
isogroup42851	sp|G5EES6|UFD3_CAEEL
isogroup42853	sp|Q8VDU0|GPSM2_MOUSE
isogroup42858	sp|A1CD74|PAN1_ASPCL
isogroup42859	sp|A1TWN0|FMT_MARHV
isogroup42860	sp|O68008|BACC_BACLI
isogroup42861	sp|Q9ZGI5|PIKA1_STRVZ
isogroup42862	sp|Q6NXC0|FMNL3_DANRE
isogroup42863	sp|Q63HM2|PCX4_HUMAN
isogroup42873	sp|Q5B5B0|PAN1_EMENI
isogroup42874	sp|Q23716|EF2_CRYPV
isogroup42875	sp|O80770|SPT52_ARATH
isogroup42876	sp|Q6NLQ6|CDPKW_ARATH
isogroup42878	sp|Q55GU0|Y9955_DICDI
isogroup42881	sp|P62285|ASPM_BOVIN
isogroup42882	sp|Q8KSC8|RDPA_SPHHM
isogroup42883	sp|Q02280|KCNAE_DROME
isogroup42884	sp|Q9QR71|LANA1_HHV8P
