isogroup1000	Q9P974
isogroup36789	P0C1I8
isogroup36790	Q5XIC8
isogroup36791	Q46845
isogroup36793	Q8GZ43
isogroup36795	Q93VG8
isogroup36797	Q9M5A9
isogroup36798	Q20798
isogroup36799	Q8VD04
isogroup36800	Q84W41
isogroup36802	Q92359
isogroup36803	Q96JN8
isogroup36805	Q6MEC9
isogroup36807	Q9QXT8
isogroup36808	Q5AGC4
isogroup36810	Q8IXK2
isogroup36811	Q91ZR5
isogroup36813	Q6L8Q7
isogroup36814	Q62651
isogroup36815	Q5ZBH5
isogroup36816	Q5FWT1
isogroup36817	Q41140
isogroup36818	O42807
isogroup36819	A6NFX1
isogroup36824	Q4KWZ7
isogroup36827	Q55EQ3
isogroup36829	Q9C9M9
isogroup36831	O59952
isogroup36832	P25386
isogroup36837	Q07307
isogroup36838	A8WIP6
isogroup36839	Q7RTR2
isogroup36840	Q0DEC8
isogroup36841	Q9C1C2
isogroup36847	C9D7C2
isogroup36848	O35245
isogroup36853	Q7XSQ5
isogroup36854	E9Q7G0
isogroup36856	Q6CH90
isogroup36857	P38795
isogroup36858	Q24562
isogroup36859	C0CMQ8
isogroup36860	Q2K4E6
isogroup36868	P46824
isogroup36872	P48550
isogroup36875	P50513
isogroup36876	P42111
isogroup36881	Q59754
isogroup36884	Q4G3D7
isogroup36886	B9EMY6
isogroup36888	O88705
isogroup36889	O94431
isogroup36895	Q9VR91
isogroup36897	Q3MHE2
isogroup36899	Q9WV04
isogroup36901	O93937
isogroup36902	Q06827
isogroup36907	Q9SS40
isogroup36908	O22160
isogroup36910	P60040
isogroup36914	O64886
isogroup36917	Q9M8Y0
isogroup36918	Q09571
isogroup36923	Q3EBC2
isogroup36928	E7FB98
isogroup36930	Q3T0P6
isogroup36932	O76329
isogroup36934	Q8YRI1
isogroup36936	Q5VRB2
isogroup36942	O70507
isogroup36947	Q8IZN3
isogroup36948	Q28IH8
isogroup36950	O05394
isogroup36954	Q9C9M9
isogroup36956	Q7RTR2
isogroup36960	Q9P1Z3
isogroup36961	Q5YLM1
isogroup36963	A0A0H2URK1
isogroup36965	Q9MZS1
isogroup36970	Q9LNE7
isogroup36972	I1RGD4
isogroup36974	A8CEP3
isogroup36978	P55937
isogroup36980	Q57335
isogroup36981	Q6DFF6
isogroup36983	K7K424
isogroup36985	Q6IP09
isogroup36986	Q0P5H2
isogroup36989	Q6NZQ8
isogroup3699	Q6S9C8
isogroup36991	Q8S341
isogroup36993	Q91V92
isogroup36995	Q8T1C6
isogroup36996	O15865
isogroup36999	Q7XMI0
isogroup37010	P9WLH7
isogroup37012	Q5TYW6
isogroup37013	E1BNQ4
isogroup37015	Q6NMM8
isogroup37016	G4WAW9
isogroup37017	Q9LQ14
isogroup37018	Q9FF46
isogroup37019	Q55793
isogroup3702	Q9JI90
isogroup37020	P02566
isogroup37025	Q9JKB8
isogroup37028	Q05746
isogroup37035	Q3UMR0
isogroup37037	Q9EP71
isogroup37039	Q67XW5
isogroup37043	A9CJC9
isogroup37044	Q8C3B8
isogroup37045	Q9FKT5
isogroup37046	Q03604
isogroup37047	A5A779
isogroup37049	Q6ZQY2
isogroup37050	Q6Z7B0
isogroup37051	Q55GE6
isogroup37054	Q9FNU2
isogroup37056	Q8S7E1
isogroup37057	O42184
isogroup37060	E9Q557
isogroup37064	O72736
isogroup37068	Q02343
isogroup37069	Q7PWB1
isogroup37070	Q9UPV0
isogroup37071	Q5QIT3
isogroup37072	Q54P70
isogroup37074	Q5XHY5
isogroup37076	Q56AP7
isogroup37078	Q0WUU6
isogroup37082	P07850
isogroup37085	P14105
isogroup37086	Q8WR51
isogroup37089	Q54JE4
isogroup37090	Q709C8
isogroup37091	P51566
isogroup37093	Q6AXL4
isogroup37096	Q6NWL4
isogroup37100	Q6DJ55
isogroup37101	Q91WC9
isogroup37103	Q3MIB4
isogroup37107	P79051
isogroup37110	O14115
isogroup37111	P0DPA1
isogroup37114	Q23MT7
isogroup37116	Q8H0U8
isogroup37119	O09032
isogroup37125	O14248
isogroup37126	P53352
isogroup37129	Q9NQT8
isogroup37130	Q502K3
isogroup37131	Q9LJX4
isogroup37137	Q17PP1
isogroup37141	P22792
isogroup37145	Q39575
isogroup37148	Q7ZW78
isogroup37149	Q9P4X3
isogroup37150	Q9CWX9
isogroup37151	Q1JP63
isogroup37154	Q9FMF6
isogroup37156	Q8TGM6
isogroup37158	Q6NRC7
isogroup37159	P56859
isogroup37164	Q9H841
isogroup37167	Q9LYW5
isogroup37168	A4TE41
isogroup37169	P0CG82
isogroup37172	Q9M1R2
isogroup37174	B3DHU2
isogroup37179	Q7MF44
isogroup37180	Q96KR6
isogroup37183	Q9BIB3
isogroup37186	V5YMB3
isogroup37187	O54852
isogroup37188	O74856
isogroup37189	F4JTS8
isogroup37191	Q5E9S9
isogroup37193	P19485
isogroup37195	P17967
isogroup37196	Q6P798
isogroup37200	Q66L58
isogroup37205	Q27352
isogroup37210	Q93Y37
isogroup37211	Q9H7B4
isogroup37212	Q9NZN3
isogroup37213	Q94AK4
isogroup37215	P20397
isogroup37216	P24733
isogroup37217	P00915
isogroup37219	O29028
isogroup37222	Q6BI99
isogroup37226	O26759
isogroup37229	Q8N9H8
isogroup37232	Q55C77
isogroup37235	P61025
isogroup37236	Q8C1B2
isogroup37237	P46850
isogroup37242	Q5B1Q2
isogroup37243	P15555
isogroup37247	Q7NDN8
isogroup37251	Q7ZV96
isogroup37252	P16157
isogroup37253	P40215
isogroup37256	Q95LR0
isogroup37257	C9D7C2
isogroup37260	O34586
isogroup37261	Q9S7X6
isogroup37262	Q2VZE7
isogroup37266	P43524
isogroup37267	Q23716
isogroup37269	P51799
isogroup37273	Q9FYE5
isogroup37274	B0JL12
isogroup37276	A2AX52
isogroup37278	Q9TV66
isogroup37282	Q1ACM8
isogroup37284	D3YXG0
isogroup37285	Q9D572
isogroup37286	P16273
isogroup37288	Q7XPJ0
isogroup37289	Q700K0
isogroup37290	E7F9T0
isogroup37292	Q8I8U2
isogroup37293	Q9FNI6
isogroup37294	Q2QVI1
isogroup37295	Q9Y7L2
isogroup37297	Q05650
isogroup37301	Q5ENN5
isogroup37302	Q8YTC2
isogroup37303	Q02821
isogroup37309	Q2KJG8
isogroup37310	P45951
isogroup37311	Q9MAT5
isogroup37312	O93530
isogroup37315	Q9QR71
isogroup37320	Q3E9C0
isogroup37325	A4IHR1
isogroup37327	Q50KB1
isogroup37329	Q9WZ31
isogroup37331	Q5ZKR7
isogroup37332	Q55GU0
isogroup37335	Q62812
isogroup37336	X1WER2
isogroup37337	Q8LAP6
isogroup37338	Q9JIS7
isogroup37339	Q5YLM1
isogroup37340	Q02817
isogroup37341	A6H5Y3
isogroup37343	P25071
isogroup37344	O23365
isogroup37345	Q9LDH3
isogroup37347	Q5VWZ2
isogroup37355	A0A0I9QGZ2
isogroup37357	Q9C5C4
isogroup37358	P14766
isogroup37362	Q8N6T7
isogroup37363	Q91UZ4
isogroup37364	Q5U5C5
isogroup37365	P15381
isogroup37367	Q9BY12
isogroup37368	B0R4J2
isogroup3737	Q8RWS8
isogroup37371	G0SA56
isogroup37373	P38994
isogroup37378	Q9PTU3
isogroup37379	G5ECR8
isogroup37381	Q06852
isogroup37383	P54583
isogroup37384	Q6NQK9
isogroup37385	Q55E45
isogroup37386	Q9W6R5
isogroup37388	P52032
isogroup37389	P23548
isogroup37390	Q9SD61
isogroup37391	P54739
isogroup37392	Q01484
isogroup37393	Q2UFD2
isogroup37395	Q54F44
isogroup37396	P29618
isogroup37397	A8XXC7
isogroup37401	Q569A6
isogroup37402	Q40296
isogroup37403	Q54CV5
isogroup37408	Q58955
isogroup37411	Q62226
isogroup37413	Q19325
isogroup37417	P16157
isogroup37420	O74405
isogroup37423	P11029
isogroup37424	Q9TU71
isogroup37425	P10770
isogroup37426	P0C870
isogroup37428	Q5XET5
isogroup37431	Q9VBP3
isogroup37433	Q9JLT0
isogroup37434	Q09747
isogroup37435	Q5VS72
isogroup37436	Q8RVL2
isogroup37439	P02588
isogroup37443	P81214
isogroup37444	P42566
isogroup37445	Q11208
isogroup37447	O60188
isogroup37449	Q94KI8
isogroup37450	P37709
isogroup37451	B0R4J2
isogroup37457	P51566
isogroup37458	Q5RFU0
isogroup37464	Q6BMM5
isogroup37467	P22944
isogroup37469	Q9JLK7
isogroup37470	Q99385
isogroup37472	Q9SI09
isogroup37475	Q2XVR6
isogroup37476	Q9GSB0
isogroup37477	Q62205
isogroup37478	Q9QYI4
isogroup37481	P51839
isogroup37485	G4SLH0
isogroup37487	A9CPT4
isogroup37488	Q9LXG1
isogroup37489	P28745
isogroup37490	Q6P2Y2
isogroup37491	P63417
isogroup37492	P00791
isogroup37493	P21187
isogroup37494	Q0WQK2
isogroup37495	Q93VB2
isogroup37496	Q8KWM1
isogroup37497	A7MBI7
isogroup37498	Q5ATG5
isogroup37499	Q0QLE4
isogroup37500	Q3C1A6
isogroup37501	Q6ZVH7
isogroup37504	P72926
isogroup37505	Q6PAV2
isogroup37511	A8MXZ3
isogroup37513	P55142
isogroup37514	Q99728
isogroup37518	Q5TZA2
isogroup37519	Q80U58
isogroup37525	Q2RMD6
isogroup37530	Q15751
isogroup37531	Q8VZP6
isogroup37532	Q8CRT9
isogroup37533	Q9SZ15
isogroup37534	Q54KA7
isogroup37536	Q00808
isogroup37542	Q4X084
isogroup37544	Q96287
isogroup37547	Q9SGA8
isogroup37549	Q9NR34
isogroup37551	P28829
isogroup37552	Q922Y2
isogroup37553	P58872
isogroup37555	P52839
isogroup37556	Q8BTI8
isogroup37558	Q9C6S5
isogroup37559	Q55680
isogroup37560	O94432
isogroup37561	O07576
isogroup37562	Q500V9
isogroup37563	P43297
isogroup37565	Q5UPD4
isogroup37566	Q6AYT5
isogroup37570	Q0IHI3
isogroup37572	Q29Q26
isogroup37573	A2Q9L0
isogroup37576	Q4V339
isogroup37578	Q8P8H3
isogroup37579	Q9Z2B9
isogroup37582	Q92DM1
isogroup37584	Q9C566
isogroup37586	P49730
isogroup37587	P04630
isogroup37589	Q80VQ0
isogroup37590	G0SA56
isogroup37591	Q6Z4F1
isogroup37592	Q86AF2
isogroup37595	P16884
isogroup37596	A5EYE5
isogroup37598	Q582G4
isogroup37599	Q3MIE0
isogroup37603	Q9W4J5
isogroup37604	Q02356
isogroup37608	O94271
isogroup37610	Q5A5M7
isogroup37612	Q9SYM5
isogroup37613	Q54W24
isogroup37616	Q9M9G6
isogroup37620	E9PV86
isogroup37624	O80358
isogroup37626	Q10021
isogroup37627	Q09792
isogroup37628	Q9P0K7
isogroup37631	Q99323
isogroup37633	Q58556
isogroup37634	Q8VWF5
isogroup37637	Q8MTI2
isogroup37638	P64730
isogroup37639	P91645
isogroup37643	Q9Z2G6
isogroup37646	Q5DM57
isogroup37647	E9Q8T7
isogroup37648	B7N5Z0
isogroup37649	Q9VJE5
isogroup37650	Q54DU1
isogroup37651	Q0A845
isogroup37652	Q940J8
isogroup37653	Q9V3G1
isogroup37654	P54529
isogroup37655	P49100
isogroup37656	Q8VIG3
isogroup37657	P00175
isogroup37660	Q9NJU9
isogroup37661	Q5FNY6
isogroup37663	Q55874
isogroup37664	Q6PA06
isogroup37665	Q54VQ7
isogroup37667	Q9Y719
isogroup37669	Q9SZ53
isogroup37671	Q58536
isogroup37677	Q91VA1
isogroup37679	P02719
isogroup37682	O14134
isogroup37683	Q13976
isogroup37684	Q8VWZ8
isogroup37691	Q03441
isogroup37692	Q59627
isogroup37694	P08524
isogroup37695	O31782
isogroup37696	O95180
isogroup37699	O70579
isogroup37701	A9UNU6
isogroup37703	Q8NSH8
isogroup37709	Q10AZ7
isogroup37711	P22082
isogroup37713	P22793
isogroup37715	O77592
isogroup37716	Q91ZR5
isogroup37718	A9V3C0
isogroup37720	Q6GLM5
isogroup37723	Q32PX7
isogroup37725	P31596
isogroup37727	Q402E1
isogroup37728	Q3SWT6
isogroup37729	Q91V92
isogroup37730	O23184
isogroup37732	Q6ER94
isogroup3774	P26372
isogroup37740	Q6IMY8
isogroup37741	Q5U430
isogroup37743	B2IIJ7
isogroup37744	O80792
isogroup37749	Q5XAQ1
isogroup37751	Q6C520
isogroup37753	P51957
isogroup37755	Q1W377
isogroup37757	Q8IWZ3
isogroup37758	Q9ZVX5
isogroup37762	Q38861
isogroup37767	Q63170
isogroup37772	A0QRG8
isogroup37773	Q6TNS2
isogroup37774	O88420
isogroup37776	P37709
isogroup37777	P27115
isogroup37780	Q96CN5
isogroup37781	Q5B5P1
isogroup37782	Q6FFL0
isogroup37784	Q2TAA8
isogroup37785	Q8CHS4
isogroup37786	Q43497
isogroup37788	Q8I4T1
isogroup37792	P96202
isogroup37795	Q54V96
isogroup37796	Q8BSY0
isogroup37797	Q80X72
isogroup37800	Q7F8R0
isogroup37801	Q8BTU7
isogroup37802	Q9V410
isogroup37803	Q5JMR9
isogroup37804	O42851
isogroup37806	P31669
isogroup37807	Q8IIG7
isogroup37808	P72935
isogroup37811	Q7ZV84
isogroup37814	Q9CWR2
isogroup37815	Q63170
isogroup37818	P35123
isogroup37819	Q9VKQ9
isogroup37822	Q96EW2
isogroup37823	Q9ULJ7
isogroup37824	O46669
isogroup37825	P08965
isogroup37827	P10587
isogroup37828	Q9C9W9
isogroup37830	A4IIS8
isogroup37832	Q5ATG5
isogroup37838	P51824
isogroup37839	C5CGR3
isogroup37840	Q9EQG6
isogroup37845	O80809
isogroup37850	B8GFF8
isogroup37854	Q9ZGI5
isogroup37855	Q8RY89
isogroup37857	Q08972
isogroup37859	Q9JJ00
isogroup37864	P60409
isogroup37866	Q9UVS8
isogroup37868	A0AUS0
isogroup37872	P55251
isogroup37873	P07259
isogroup37876	Q15527
isogroup3788	P31692
isogroup37882	P35446
isogroup37883	Q5B5P1
isogroup37885	B2RW38
isogroup37888	Q562B5
isogroup37889	Q07652
isogroup37890	O50314
isogroup37892	Q92620
isogroup37895	A5FZG9
isogroup37899	Q09911
isogroup37901	Q9BV38
isogroup37905	Q38935
isogroup37906	F4IQK5
isogroup379080	P46824
isogroup37909	Q03043
isogroup37910	Q28104
isogroup37914	Q9UQ35
isogroup37916	O74467
isogroup37917	O42184
isogroup37919	Q93ZX1
isogroup37920	Q9EQV6
isogroup37922	Q9ZT49
isogroup37923	Q28IV3
isogroup37924	Q53P85
isogroup37926	B5X582
isogroup37932	Q8IVS2
isogroup37933	Q10N04
isogroup37934	Q91YN5
isogroup37935	P27798
isogroup37936	Q9BPL7
isogroup37937	P31826
isogroup37939	A4IFP3
isogroup37942	Q8GUP1
isogroup37951	P42042
isogroup37955	Q9HC84
isogroup37956	Q16P20
isogroup37958	O15865
isogroup37962	Q7TMR0
isogroup37966	Q7RTR2
isogroup37969	Q9SMT7
isogroup37972	Q55BZ4
isogroup37976	Q9P2H3
isogroup37978	Q6ZFZ4
isogroup37982	Q59603
isogroup37983	Q9VRP9
isogroup37984	Q0CMT2
isogroup37988	Q8CGB3
isogroup37990	Q84XU2
isogroup37993	Q54G05
isogroup37995	A6H7B5
isogroup37996	Q9SKX5
isogroup37997	Q9D8Z1
isogroup37998	P38680
isogroup38002	Q9SUK9
isogroup38003	Q9M9Q6
isogroup38004	Q1JPG1
isogroup38005	Q12DF1
isogroup38007	Q9D1J1
isogroup38008	Q47VK0
isogroup38011	Q8YSU5
isogroup38013	Q4VRV8
isogroup38016	Q84WU2
isogroup38018	Q6K8J4
isogroup38019	Q5ENN5
isogroup38022	Q84XI3
isogroup38023	Q91VW5
isogroup38024	A8JF70
isogroup38025	Q7Z991
isogroup38026	P94026
isogroup38027	Q9LQ14
isogroup38028	Q05972
isogroup38032	Q6NXR0
isogroup38035	P28178
isogroup38036	Q86KL4
isogroup38037	Q02006
isogroup38039	Q6Y290
isogroup38040	Q7NBW0
isogroup38041	P54252
isogroup38044	P23903
isogroup38045	Q5UR45
isogroup38048	Q2VYT0
isogroup3805	Q8C0W1
isogroup38051	P41891
isogroup38057	P51135
isogroup38058	Q3TIX9
isogroup38060	Q5R814
isogroup38064	Q8VDU0
isogroup38065	Q9ZUU3
isogroup38066	Q6CPG3
isogroup38069	P56286
isogroup38070	A2RVM0
isogroup38072	P41352
isogroup38074	Q7Z4S6
isogroup38077	P35100
isogroup38081	Q5XG87
isogroup38083	Q5BK32
isogroup38091	Q9Y140
isogroup38093	Q6P298
isogroup38094	A6NCI4
isogroup38095	Q8IWZ3
isogroup38098	Q8W487
isogroup381	Q7KN62
isogroup38100	Q2T9N0
isogroup38102	A7YWC4
isogroup38104	P50520
isogroup38105	Q9C0B0
isogroup38108	Q5JGE1
isogroup38110	Q9C912
isogroup38115	O60508
isogroup38117	Q91ZR5
isogroup38118	P27525
isogroup38119	O08336
isogroup38124	P00110
isogroup38125	Q8N3J2
isogroup38126	Q5SRI9
isogroup38127	Q96L03
isogroup38132	P12680
isogroup38134	Q9LMA1
isogroup38135	Q4R7Y5
isogroup38137	Q550K8
isogroup38138	Q54Q39
isogroup38145	P49076
isogroup38147	Q8VXY7
isogroup38148	Q5JG47
isogroup38149	Q53W83
isogroup38151	Q6YHK3
isogroup38152	Q9EQ60
isogroup38157	Q84M24
isogroup38160	Q8VZE7
isogroup38161	B3MF31
isogroup38162	P44963
isogroup38166	Q9CZS3
isogroup38167	Q8C092
isogroup38168	Q5WTF0
isogroup38170	P0A4K5
isogroup38173	Q7ZV96
isogroup38174	Q4UMH6
isogroup38175	Q8VDQ9
isogroup38178	Q96I25
isogroup38179	H7BZ55
isogroup38182	O76329
isogroup38183	Q29RU9
isogroup38187	Q8C5N3
isogroup38188	O88808
isogroup38192	Q6F3I7
isogroup38193	Q9P7B4
isogroup38194	Q9CWB7
isogroup38195	P80576
isogroup38198	O42398
isogroup38199	P16884
isogroup38201	P97694
isogroup38204	Q8VXZ7
isogroup38205	P97557
isogroup38207	Q8S4R4
isogroup38218	Q9R110
isogroup38219	P12955
isogroup38221	P10587
isogroup38222	Q7ZUV0
isogroup38226	P54569
isogroup38227	Q8N4Y2
isogroup38231	Q8H136
isogroup38232	Q6AYP4
isogroup38234	Q55DM5
isogroup38236	P26371
isogroup38238	Q9H6K5
isogroup38240	A0A0H2URK1
isogroup38241	Q7D745
isogroup38244	Q4WD46
isogroup38247	Q8NFD2
isogroup38248	B3QL00
isogroup38249	Q9MA15
isogroup38250	Q9FKW4
isogroup38251	Q3ED68
isogroup38253	Q54CX6
isogroup38259	Q8BGN5
isogroup38262	Q8IYD2
isogroup38264	Q8VYU7
isogroup38269	Q75VR0
isogroup38270	Q13563
isogroup38271	Q0WML0
isogroup38272	Q5UQE9
isogroup38276	Q54HW1
isogroup38278	O34539
isogroup38280	Q7Z9L3
isogroup38281	Q5VQQ5
isogroup38283	C0LGU1
isogroup38285	Q9PTU6
isogroup38288	Q9HEW1
isogroup38289	Q84WU2
isogroup38293	O99256
isogroup38296	Q50568
isogroup38306	Q5IFN2
isogroup38307	Q84M24
isogroup38309	O82018
isogroup38310	Q8NI36
isogroup38312	Q0WN69
isogroup38315	P14070
isogroup38317	P86982
isogroup38319	Q91Z38
isogroup38320	Q8RWG3
isogroup38321	Q11011
isogroup38322	Q6ICL7
isogroup38323	Q55B06
isogroup38325	Q9BX70
isogroup38326	Q54DF2
isogroup38330	Q05961
isogroup38332	Q9ZGI4
isogroup38336	P60369
isogroup38337	O59722
isogroup38340	O23254
isogroup38342	Q5M7J9
isogroup38347	Q2HJ94
isogroup38349	P28713
isogroup38350	P35749
isogroup38355	Q15751
isogroup38356	O61308
isogroup38360	O34313
isogroup38363	Q9U5M4
isogroup38366	Q6GZT3
isogroup38369	P06801
isogroup38370	Q3SZM1
isogroup38371	Q8IWN7
isogroup38375	Q09958
isogroup38376	Q9FNI6
isogroup38377	P24733
isogroup38379	Q7F9U3
isogroup38381	P87139
isogroup38383	Q1ZXQ5
isogroup38385	P23385
isogroup38387	Q17RB8
isogroup38388	P54213
isogroup38394	Q2QQR2
isogroup38395	Q8BL48
isogroup38397	Q55AX0
isogroup38398	P22105
isogroup38399	P62343
isogroup38404	P48767
isogroup38407	B0K530
isogroup38410	Q02909
isogroup38411	G2NFJ9
isogroup38413	Q5R7E5
isogroup38414	P0A9J5
isogroup38416	Q8BI22
isogroup38419	Q94726
isogroup38420	O34745
isogroup38421	A7LXS9
isogroup38425	P94593
isogroup38429	Q5D7I0
isogroup38430	Q8Q0U0
isogroup38431	Q58871
isogroup38433	Q9Z1J2
isogroup38435	Q43362
isogroup38437	Q9F7P4
isogroup38438	Q03043
isogroup38439	Q3T1J9
isogroup38440	Q86WA6
isogroup38443	G4SLH0
isogroup38446	Q9FJ47
isogroup38447	P41129
isogroup38450	Q99PF5
isogroup38454	Q2NCA3
isogroup38455	Q9H252
isogroup38457	Q7PWB1
isogroup38460	Q21966
isogroup38461	O32210
isogroup38462	Q9LET1
isogroup38464	Q38997
isogroup38466	O74885
isogroup38467	Q7RTR2
isogroup38470	Q8VZ79
isogroup38473	Q9P2E3
isogroup38474	P16157
isogroup38475	Q9Y376
isogroup38476	A7RFT2
isogroup38477	Q93890
isogroup38478	O95819
isogroup38480	Q9UKP3
isogroup38481	P40228
isogroup38482	O51039
isogroup38484	O82568
isogroup38485	P72935
isogroup38486	Q9FGQ6
isogroup38488	O82462
isogroup38491	Q9LZ82
isogroup38494	P9WQE7
isogroup38497	A4QP78
isogroup38498	P57790
isogroup38500	P53914
isogroup38502	Q9EPH8
isogroup38503	Q9LHQ7
isogroup38504	Q23FE2
isogroup38506	A6UDC0
isogroup38507	Q8BSY0
isogroup38511	P32392
isogroup38514	P13540
isogroup38515	P9WHR1
isogroup38516	P0CAZ0
isogroup38517	Q9FM67
isogroup38518	P52922
isogroup38521	Q9FN03
isogroup38523	O78464
isogroup38525	Q9WUA5
isogroup38526	Q5SWK7
isogroup38528	Q5ZKR7
isogroup38529	Q9JME5
isogroup3853	Q9SZ54
isogroup38530	Q39231
isogroup38531	P0CT84
isogroup38533	Q9XTR8
isogroup38534	Q94A68
isogroup38536	P35748
isogroup38537	Q8BL65
isogroup38538	Q9USW3
isogroup38541	P02977
isogroup38542	O54898
isogroup38545	Q8YRU9
isogroup38546	Q59022
isogroup38549	B4PZB4
isogroup38550	P70670
isogroup38555	O02697
isogroup38556	Q9FN15
isogroup38558	Q94EI9
isogroup38561	Q8ZPI0
isogroup38562	P25386
isogroup38568	P26182
isogroup38570	F1QDI9
isogroup38573	Q40297
isogroup38575	Q40300
isogroup38576	P06244
isogroup38579	Q9M8J9
isogroup38582	P98070
isogroup38585	Q8VX13
isogroup38586	Q2S1W0
isogroup38587	Q9H1I8
isogroup38588	Q15149
isogroup38593	P05689
isogroup38596	Q3KRG3
isogroup38598	P46487
isogroup386	Q5M7N9
isogroup38602	A7N307
isogroup38606	Q4G3B5
isogroup38609	P56101
isogroup38610	O43304
isogroup38611	Q2KHZ2
isogroup38613	P31448
isogroup38618	Q9LND7
isogroup38619	Q54G05
isogroup38622	Q8LDW8
isogroup38626	Q9TL08
isogroup38627	Q8BH69
isogroup38628	Q8K268
isogroup38631	Q4HXF6
isogroup38633	P0DPA0
isogroup38634	Q032L5
isogroup38636	F4JZY1
isogroup38639	P41001
isogroup38640	Q9S170
isogroup38641	Q9L4P4
isogroup38643	Q04195
isogroup38648	A0T0L2
isogroup38649	Q7RTR2
isogroup38650	F4IVR7
isogroup38656	Q54I71
isogroup38657	Q3T077
isogroup38658	Q9I4C8
isogroup38659	Q42656
isogroup38660	P0C224
isogroup38662	Q9C7A2
isogroup38663	Q9Z221
isogroup38664	B2RXR6
isogroup38665	P07746
isogroup38666	Q5ZI11
isogroup38667	P92939
isogroup38668	Q9LW62
isogroup38669	A0A0H2URK1
isogroup38671	Q9FJR0
isogroup38672	Q9V7Y2
isogroup38673	Q42456
isogroup38675	Q9SIC9
isogroup38676	O04866
isogroup38677	O57483
isogroup38679	Q18014
isogroup38680	Q9QXN5
isogroup38683	O22173
isogroup38686	Q7RTR2
isogroup38688	Q924K2
isogroup38690	P55738
isogroup38692	B7U540
isogroup38695	O24174
isogroup38703	Q9STD3
isogroup38705	P33727
isogroup38706	B2HIL7
isogroup38707	Q54P92
isogroup38710	Q01063
isogroup38711	Q6NT16
isogroup38713	Q3KRC5
isogroup38714	Q24239
isogroup38716	O94296
isogroup38718	Q8YV57
isogroup38719	P49731
isogroup38720	P43524
isogroup38721	Q40300
isogroup38723	Q10411
isogroup38725	K0E3U9
isogroup38727	Q8RXE7
isogroup38729	Q21221
isogroup38731	Q9LSD0
isogroup38735	Q6XLQ7
isogroup38737	Q54I71
isogroup38739	A3AVH5
isogroup38740	Q9Z0Y8
isogroup38742	Q9W2M2
isogroup38743	Q05196
isogroup38746	Q8NFD2
isogroup38747	P0AG15
isogroup38748	O13799
isogroup38752	O23365
isogroup38755	Q54C32
isogroup38757	Q07283
isogroup38760	Q93ZT6
isogroup38762	P35748
isogroup38764	Q13439
isogroup38765	Q54TM7
isogroup38767	Q02280
isogroup38771	Q84WV9
isogroup38773	Q9C9U5
isogroup38775	Q02357
isogroup38776	P28178
isogroup38779	Q6ZQL4
isogroup38784	A4R2R1
isogroup38785	P25807
isogroup38787	Q9ULA0
isogroup38788	Q40517
isogroup38789	Q54GE3
isogroup38791	O54852
isogroup38794	Q05858
isogroup38799	Q8GYX8
isogroup38800	Q8TGM7
isogroup38801	Q15075
isogroup38802	Q2TBQ9
isogroup38807	Q8LBZ4
isogroup38808	O88751
isogroup38812	Q00526
isogroup38815	Q99MB4
isogroup38817	Q64M78
isogroup38820	Q9SUK9
isogroup38822	O30124
isogroup38823	Q5R9A7
isogroup38825	Q0UXJ7
isogroup38826	B1AVH7
isogroup38827	P40222
isogroup38828	Q15149
isogroup38830	Q7XUF4
isogroup38831	Q1PFH8
isogroup38833	Q5EA37
isogroup38834	Q8QZR1
isogroup38835	S0DPL8
isogroup38838	Q5UQK0
isogroup38840	P81497
isogroup38842	Q9ERI6
isogroup38843	Q96JB5
isogroup38844	A1SX95
isogroup38847	Q2JHS8
isogroup38848	Q8L7A0
isogroup38849	Q08D64
isogroup38850	P87061
isogroup38852	Q21221
isogroup38853	O64642
isogroup38854	Q8CD54
isogroup38856	P02982
isogroup38857	A2VCW5
isogroup38860	Q5RBP4
isogroup38861	Q5SXJ3
isogroup38862	D2Z027
isogroup38863	Q80WA4
isogroup38865	P9WPG1
isogroup38866	P0C6A1
isogroup38867	O95239
isogroup38870	Q9R053
isogroup38871	A8E534
isogroup38872	Q9TV69
isogroup38873	Q9SBJ1
isogroup38877	P07882
isogroup38878	P16157
isogroup38880	Q95RI5
isogroup38882	P21448
isogroup38883	Q55855
isogroup38887	P16157
isogroup38889	Q96301
isogroup3889	Q23G98
isogroup38890	Q5UQK0
isogroup38891	Q4KME6
isogroup38895	O36021
isogroup38896	Q8GXJ4
isogroup38897	Q8CDU5
isogroup38898	P20444
isogroup38902	O49562
isogroup38904	Q9NRG4
isogroup38906	C3VPR6
isogroup38907	Q8N568
isogroup38908	Q40297
isogroup38909	Q6Q151
isogroup38910	Q9ALA2
isogroup38911	Q8CIN6
isogroup38912	Q9H6K5
isogroup38914	Q9Z0Y8
isogroup38915	Q9N1Q9
isogroup38916	Q7QC84
isogroup38919	Q0VCK9
isogroup38921	Q7Z406
isogroup38922	F4KGU4
isogroup38925	P16157
isogroup38926	O48844
isogroup38928	Q08014
isogroup38929	Q6P5P3
isogroup38932	P85120
isogroup38934	Q9LXT4
isogroup38937	G4SLH0
isogroup38939	Q7XPJ0
isogroup38943	Q62839
isogroup38944	Q13686
isogroup38945	O76360
isogroup38946	Q7T163
isogroup38947	Q9SQN2
isogroup38949	Q9S845
isogroup38951	A7RNG8
isogroup38954	Q58424
isogroup38955	O49809
isogroup38956	P94464
isogroup38959	Q92359
isogroup38960	O15865
